p,corstr,subset,alpha_rho,beta_rho,model,num_trees,bias,rpehe,coverage,width
10,AR-1,Overall,0.3,3,Oracle CLR,NA,"0.00 (-0.04, 0.03)","0.03 (0.01, 0.06)","0.95 (0.67, 1.00)","0.14 (0.14, 0.15)"
10,AR-1,Overall,0.3,3,CL-BART,1,"0.00 (-0.03, 0.03)","0.06 (0.03, 0.09)","0.77 (0.47, 1.00)","0.15 (0.12, 0.20)"
10,AR-1,Overall,0.3,3,CL-BART,2,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.09)","0.77 (0.47, 1.00)","0.15 (0.11, 0.20)"
10,AR-1,Overall,0.3,3,CL-BART,5,"0.00 (-0.04, 0.03)","0.06 (0.03, 0.10)","0.81 (0.47, 1.00)","0.15 (0.12, 0.21)"
10,AR-1,Overall,0.3,3,CL-BART,10,"0.00 (-0.04, 0.03)","0.06 (0.03, 0.10)","0.83 (0.49, 1.00)","0.17 (0.12, 0.22)"
10,AR-1,Overall,0.3,3,CL-BART-avg,1,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.08)","0.76 (0.46, 1.00)","0.14 (0.11, 0.17)"
10,AR-1,Overall,0.3,3,CL-BART-avg,2,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.08)","0.75 (0.46, 1.00)","0.13 (0.11, 0.17)"
10,AR-1,Overall,0.3,3,CL-BART-avg,5,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.07)","0.79 (0.44, 1.00)","0.13 (0.11, 0.17)"
10,AR-1,Overall,0.3,3,CL-BART-avg,10,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.07)","0.82 (0.47, 1.00)","0.13 (0.11, 0.16)"
10,AR-1,Overall,0.95,2,Oracle CLR,NA,"0.00 (-0.04, 0.03)","0.03 (0.01, 0.06)","0.95 (0.67, 1.00)","0.14 (0.14, 0.15)"
10,AR-1,Overall,0.95,2,CL-BART,1,"0.00 (-0.04, 0.03)","0.06 (0.03, 0.10)","0.85 (0.48, 1.00)","0.17 (0.12, 0.25)"
10,AR-1,Overall,0.95,2,CL-BART,2,"0.00 (-0.04, 0.03)","0.06 (0.02, 0.10)","0.83 (0.48, 1.00)","0.17 (0.12, 0.24)"
10,AR-1,Overall,0.95,2,CL-BART,5,"0.00 (-0.03, 0.03)","0.07 (0.03, 0.11)","0.87 (0.61, 1.00)","0.20 (0.15, 0.27)"
10,AR-1,Overall,0.95,2,CL-BART,10,"0.00 (-0.03, 0.03)","0.07 (0.03, 0.12)","0.90 (0.78, 1.00)","0.25 (0.18, 0.33)"
10,AR-1,Overall,0.95,2,CL-BART-avg,1,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.07)","0.83 (0.47, 1.00)","0.14 (0.12, 0.17)"
10,AR-1,Overall,0.95,2,CL-BART-avg,2,"0.00 (-0.04, 0.03)","0.04 (0.01, 0.07)","0.84 (0.36, 1.00)","0.13 (0.11, 0.16)"
10,AR-1,Overall,0.95,2,CL-BART-avg,5,"0.00 (-0.03, 0.03)","0.04 (0.01, 0.07)","0.88 (0.48, 1.00)","0.14 (0.12, 0.17)"
10,AR-1,Overall,0.95,2,CL-BART-avg,10,"0.00 (-0.03, 0.03)","0.04 (0.01, 0.07)","0.90 (0.48, 1.00)","0.14 (0.12, 0.16)"
10,AR-1,A,0.3,3,Oracle CLR,NA,"0.00 (-0.06, 0.06)","0.03 (0.00, 0.07)","0.97 (0.48, 1.00)","0.14 (0.12, 0.15)"
10,AR-1,A,0.3,3,CL-BART,1,"0.00 (-0.06, 0.06)","0.03 (0.00, 0.10)","0.95 (0.00, 1.00)","0.15 (0.12, 0.21)"
10,AR-1,A,0.3,3,CL-BART,2,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.09)","0.95 (0.22, 1.00)","0.14 (0.12, 0.20)"
10,AR-1,A,0.3,3,CL-BART,5,"0.00 (-0.06, 0.08)","0.04 (0.00, 0.09)","0.92 (0.18, 1.00)","0.15 (0.12, 0.21)"
10,AR-1,A,0.3,3,CL-BART,10,"0.00 (-0.06, 0.07)","0.05 (0.00, 0.10)","0.88 (0.21, 1.00)","0.17 (0.13, 0.23)"
10,AR-1,A,0.3,3,CL-BART-avg,1,"0.00 (-0.06, 0.06)","0.03 (0.00, 0.07)","0.96 (0.00, 1.00)","0.14 (0.12, 0.18)"
10,AR-1,A,0.3,3,CL-BART-avg,2,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.08)","0.94 (0.00, 1.00)","0.13 (0.11, 0.15)"
10,AR-1,A,0.3,3,CL-BART-avg,5,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.08)","0.93 (0.00, 1.00)","0.13 (0.11, 0.15)"
10,AR-1,A,0.3,3,CL-BART-avg,10,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.08)","0.94 (0.00, 1.00)","0.13 (0.12, 0.16)"
10,AR-1,A,0.95,2,Oracle CLR,NA,"0.00 (-0.06, 0.06)","0.03 (0.00, 0.07)","0.97 (0.48, 1.00)","0.14 (0.12, 0.15)"
10,AR-1,A,0.95,2,CL-BART,1,"0.00 (-0.06, 0.07)","0.04 (0.00, 0.14)","0.96 (0.57, 1.00)","0.17 (0.12, 0.26)"
10,AR-1,A,0.95,2,CL-BART,2,"0.00 (-0.06, 0.07)","0.05 (0.00, 0.13)","0.91 (0.38, 1.00)","0.16 (0.12, 0.26)"
10,AR-1,A,0.95,2,CL-BART,5,"0.00 (-0.06, 0.06)","0.06 (0.01, 0.13)","0.90 (0.54, 1.00)","0.19 (0.14, 0.27)"
10,AR-1,A,0.95,2,CL-BART,10,"0.00 (-0.06, 0.07)","0.06 (0.02, 0.12)","0.93 (0.60, 1.00)","0.24 (0.17, 0.33)"
10,AR-1,A,0.95,2,CL-BART-avg,1,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.95 (0.00, 1.00)","0.14 (0.12, 0.16)"
10,AR-1,A,0.95,2,CL-BART-avg,2,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.95 (0.00, 1.00)","0.13 (0.12, 0.15)"
10,AR-1,A,0.95,2,CL-BART-avg,5,"0.00 (-0.06, 0.06)","0.03 (0.00, 0.07)","0.96 (0.00, 1.00)","0.13 (0.12, 0.16)"
10,AR-1,A,0.95,2,CL-BART-avg,10,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.96 (0.00, 1.00)","0.14 (0.11, 0.16)"
10,AR-1,B,0.3,3,Oracle CLR,NA,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.99 (1.00, 1.00)","0.16 (0.14, 0.19)"
10,AR-1,B,0.3,3,CL-BART,1,"0.00 (-0.10, 0.06)","0.04 (0.00, 0.13)","0.94 (0.17, 1.00)","0.17 (0.13, 0.28)"
10,AR-1,B,0.3,3,CL-BART,2,"0.00 (-0.07, 0.07)","0.04 (0.00, 0.10)","0.96 (0.20, 1.00)","0.17 (0.14, 0.22)"
10,AR-1,B,0.3,3,CL-BART,5,"0.00 (-0.08, 0.07)","0.04 (0.00, 0.11)","0.93 (0.40, 1.00)","0.18 (0.13, 0.24)"
10,AR-1,B,0.3,3,CL-BART,10,"-0.01 (-0.08, 0.07)","0.05 (0.01, 0.13)","0.92 (0.25, 1.00)","0.19 (0.14, 0.25)"
10,AR-1,B,0.3,3,CL-BART-avg,1,"0.00 (-0.10, 0.06)","0.03 (0.00, 0.10)","0.96 (0.00, 1.00)","0.16 (0.13, 0.21)"
10,AR-1,B,0.3,3,CL-BART-avg,2,"0.00 (-0.07, 0.07)","0.03 (0.00, 0.08)","0.96 (0.00, 1.00)","0.16 (0.13, 0.20)"
10,AR-1,B,0.3,3,CL-BART-avg,5,"0.00 (-0.08, 0.07)","0.03 (0.00, 0.09)","0.93 (0.00, 1.00)","0.16 (0.13, 0.21)"
10,AR-1,B,0.3,3,CL-BART-avg,10,"-0.01 (-0.08, 0.07)","0.03 (0.00, 0.09)","0.96 (0.00, 1.00)","0.16 (0.13, 0.20)"
10,AR-1,B,0.95,2,Oracle CLR,NA,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.99 (1.00, 1.00)","0.16 (0.14, 0.19)"
10,AR-1,B,0.95,2,CL-BART,1,"0.00 (-0.07, 0.07)","0.05 (0.00, 0.15)","0.95 (0.38, 1.00)","0.20 (0.15, 0.34)"
10,AR-1,B,0.95,2,CL-BART,2,"0.00 (-0.07, 0.07)","0.05 (0.00, 0.14)","0.92 (0.42, 1.00)","0.19 (0.15, 0.34)"
10,AR-1,B,0.95,2,CL-BART,5,"0.00 (-0.08, 0.07)","0.06 (0.01, 0.13)","0.91 (0.47, 1.00)","0.22 (0.15, 0.33)"
10,AR-1,B,0.95,2,CL-BART,10,"0.00 (-0.06, 0.07)","0.07 (0.02, 0.13)","0.92 (0.57, 1.00)","0.26 (0.19, 0.38)"
10,AR-1,B,0.95,2,CL-BART-avg,1,"0.00 (-0.07, 0.07)","0.03 (0.00, 0.08)","0.97 (0.48, 1.00)","0.16 (0.13, 0.21)"
10,AR-1,B,0.95,2,CL-BART-avg,2,"0.00 (-0.07, 0.07)","0.03 (0.00, 0.08)","0.97 (0.48, 1.00)","0.16 (0.13, 0.20)"
10,AR-1,B,0.95,2,CL-BART-avg,5,"0.00 (-0.08, 0.07)","0.03 (0.00, 0.08)","0.97 (0.48, 1.00)","0.16 (0.14, 0.20)"
10,AR-1,B,0.95,2,CL-BART-avg,10,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.98 (1.00, 1.00)","0.16 (0.14, 0.19)"
10,AR-1,C,0.3,3,Oracle CLR,NA,"0.00 (-0.08, 0.08)","0.03 (0.00, 0.10)","0.93 (0.00, 1.00)","0.16 (0.14, 0.20)"
10,AR-1,C,0.3,3,CL-BART,1,"0.06 (-0.05, 0.13)","0.07 (0.00, 0.14)","0.54 (0.00, 1.00)","0.15 (0.09, 0.24)"
10,AR-1,C,0.3,3,CL-BART,2,"0.05 (-0.04, 0.13)","0.07 (0.01, 0.14)","0.51 (0.00, 1.00)","0.15 (0.09, 0.25)"
10,AR-1,C,0.3,3,CL-BART,5,"0.04 (-0.05, 0.13)","0.07 (0.01, 0.13)","0.57 (0.00, 1.00)","0.15 (0.10, 0.25)"
10,AR-1,C,0.3,3,CL-BART,10,"0.04 (-0.06, 0.13)","0.07 (0.01, 0.13)","0.68 (0.00, 1.00)","0.17 (0.11, 0.24)"
10,AR-1,C,0.3,3,CL-BART-avg,1,"0.06 (-0.05, 0.13)","0.07 (0.00, 0.13)","0.50 (0.00, 1.00)","0.14 (0.09, 0.22)"
10,AR-1,C,0.3,3,CL-BART-avg,2,"0.05 (-0.04, 0.13)","0.06 (0.01, 0.13)","0.49 (0.00, 1.00)","0.13 (0.09, 0.23)"
10,AR-1,C,0.3,3,CL-BART-avg,5,"0.04 (-0.05, 0.13)","0.06 (0.01, 0.13)","0.52 (0.00, 1.00)","0.13 (0.09, 0.20)"
10,AR-1,C,0.3,3,CL-BART-avg,10,"0.04 (-0.06, 0.13)","0.05 (0.00, 0.13)","0.62 (0.00, 1.00)","0.13 (0.10, 0.20)"
10,AR-1,C,0.95,2,Oracle CLR,NA,"0.00 (-0.08, 0.08)","0.03 (0.00, 0.10)","0.93 (0.00, 1.00)","0.16 (0.14, 0.20)"
10,AR-1,C,0.95,2,CL-BART,1,"0.04 (-0.06, 0.13)","0.07 (0.01, 0.13)","0.68 (0.00, 1.00)","0.18 (0.10, 0.31)"
10,AR-1,C,0.95,2,CL-BART,2,"0.03 (-0.06, 0.13)","0.07 (0.01, 0.14)","0.68 (0.00, 1.00)","0.17 (0.10, 0.27)"
10,AR-1,C,0.95,2,CL-BART,5,"0.03 (-0.06, 0.12)","0.07 (0.02, 0.14)","0.79 (0.00, 1.00)","0.21 (0.14, 0.29)"
10,AR-1,C,0.95,2,CL-BART,10,"0.02 (-0.08, 0.11)","0.08 (0.02, 0.15)","0.85 (0.35, 1.00)","0.26 (0.18, 0.36)"
10,AR-1,C,0.95,2,CL-BART-avg,1,"0.04 (-0.06, 0.13)","0.06 (0.00, 0.13)","0.63 (0.00, 1.00)","0.15 (0.10, 0.23)"
10,AR-1,C,0.95,2,CL-BART-avg,2,"0.03 (-0.06, 0.13)","0.05 (0.00, 0.13)","0.65 (0.00, 1.00)","0.13 (0.09, 0.19)"
10,AR-1,C,0.95,2,CL-BART-avg,5,"0.03 (-0.06, 0.12)","0.05 (0.00, 0.12)","0.74 (0.00, 1.00)","0.14 (0.10, 0.19)"
10,AR-1,C,0.95,2,CL-BART-avg,10,"0.02 (-0.08, 0.11)","0.05 (0.00, 0.12)","0.73 (0.00, 1.00)","0.15 (0.10, 0.20)"
10,AR-1,D,0.3,3,Oracle CLR,NA,"0.00 (-0.07, 0.06)","0.03 (0.00, 0.08)","0.93 (0.00, 1.00)","0.13 (0.12, 0.15)"
10,AR-1,D,0.3,3,CL-BART,1,"-0.04 (-0.11, 0.04)","0.05 (0.00, 0.11)","0.61 (0.00, 1.00)","0.13 (0.09, 0.21)"
10,AR-1,D,0.3,3,CL-BART,2,"-0.04 (-0.11, 0.04)","0.05 (0.01, 0.12)","0.65 (0.00, 1.00)","0.14 (0.09, 0.23)"
10,AR-1,D,0.3,3,CL-BART,5,"-0.03 (-0.10, 0.05)","0.06 (0.01, 0.12)","0.77 (0.00, 1.00)","0.14 (0.10, 0.23)"
10,AR-1,D,0.3,3,CL-BART,10,"-0.03 (-0.10, 0.05)","0.05 (0.01, 0.12)","0.79 (0.00, 1.00)","0.15 (0.10, 0.22)"
10,AR-1,D,0.3,3,CL-BART-avg,1,"-0.04 (-0.11, 0.04)","0.05 (0.00, 0.11)","0.59 (0.00, 1.00)","0.12 (0.09, 0.19)"
10,AR-1,D,0.3,3,CL-BART-avg,2,"-0.04 (-0.11, 0.04)","0.05 (0.00, 0.11)","0.60 (0.00, 1.00)","0.12 (0.09, 0.20)"
10,AR-1,D,0.3,3,CL-BART-avg,5,"-0.03 (-0.10, 0.05)","0.04 (0.00, 0.10)","0.72 (0.00, 1.00)","0.12 (0.09, 0.18)"
10,AR-1,D,0.3,3,CL-BART-avg,10,"-0.03 (-0.10, 0.05)","0.04 (0.00, 0.10)","0.74 (0.00, 1.00)","0.12 (0.09, 0.16)"
10,AR-1,D,0.95,2,Oracle CLR,NA,"0.00 (-0.07, 0.06)","0.03 (0.00, 0.08)","0.93 (0.00, 1.00)","0.13 (0.12, 0.15)"
10,AR-1,D,0.95,2,CL-BART,1,"-0.04 (-0.10, 0.04)","0.05 (0.01, 0.12)","0.79 (0.00, 1.00)","0.16 (0.10, 0.24)"
10,AR-1,D,0.95,2,CL-BART,2,"-0.03 (-0.10, 0.06)","0.05 (0.00, 0.12)","0.78 (0.00, 1.00)","0.15 (0.10, 0.25)"
10,AR-1,D,0.95,2,CL-BART,5,"-0.02 (-0.09, 0.06)","0.06 (0.02, 0.12)","0.87 (0.42, 1.00)","0.19 (0.13, 0.27)"
10,AR-1,D,0.95,2,CL-BART,10,"-0.02 (-0.08, 0.05)","0.07 (0.03, 0.12)","0.90 (0.58, 1.00)","0.24 (0.17, 0.32)"
10,AR-1,D,0.95,2,CL-BART-avg,1,"-0.04 (-0.10, 0.04)","0.04 (0.01, 0.10)","0.74 (0.00, 1.00)","0.13 (0.09, 0.18)"
10,AR-1,D,0.95,2,CL-BART-avg,2,"-0.03 (-0.10, 0.06)","0.04 (0.00, 0.10)","0.77 (0.00, 1.00)","0.12 (0.09, 0.16)"
10,AR-1,D,0.95,2,CL-BART-avg,5,"-0.02 (-0.09, 0.06)","0.03 (0.00, 0.09)","0.83 (0.00, 1.00)","0.13 (0.09, 0.17)"
10,AR-1,D,0.95,2,CL-BART-avg,10,"-0.02 (-0.08, 0.05)","0.03 (0.00, 0.09)","0.89 (0.00, 1.00)","0.12 (0.10, 0.16)"
10,exchangeable,Overall,0.3,3,Oracle CLR,NA,"0.00 (-0.04, 0.03)","0.03 (0.01, 0.06)","0.94 (0.62, 1.00)","0.14 (0.13, 0.15)"
10,exchangeable,Overall,0.3,3,CL-BART,1,"0.00 (-0.04, 0.03)","0.06 (0.04, 0.11)","0.80 (0.43, 1.00)","0.14 (0.11, 0.20)"
10,exchangeable,Overall,0.3,3,CL-BART,2,"0.00 (-0.04, 0.03)","0.06 (0.02, 0.10)","0.77 (0.32, 1.00)","0.14 (0.11, 0.19)"
10,exchangeable,Overall,0.3,3,CL-BART,5,"0.00 (-0.04, 0.03)","0.06 (0.03, 0.09)","0.81 (0.44, 1.00)","0.15 (0.12, 0.20)"
10,exchangeable,Overall,0.3,3,CL-BART,10,"0.00 (-0.04, 0.03)","0.06 (0.03, 0.10)","0.84 (0.50, 1.00)","0.17 (0.12, 0.23)"
10,exchangeable,Overall,0.3,3,CL-BART-avg,1,"0.00 (-0.04, 0.03)","0.05 (0.03, 0.09)","0.75 (0.28, 1.00)","0.13 (0.11, 0.16)"
10,exchangeable,Overall,0.3,3,CL-BART-avg,2,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.07)","0.77 (0.31, 1.00)","0.13 (0.11, 0.16)"
10,exchangeable,Overall,0.3,3,CL-BART-avg,5,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.07)","0.80 (0.35, 1.00)","0.13 (0.11, 0.16)"
10,exchangeable,Overall,0.3,3,CL-BART-avg,10,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.08)","0.82 (0.31, 1.00)","0.13 (0.11, 0.16)"
10,exchangeable,Overall,0.95,2,Oracle CLR,NA,"0.00 (-0.04, 0.03)","0.03 (0.01, 0.06)","0.94 (0.62, 1.00)","0.14 (0.13, 0.15)"
10,exchangeable,Overall,0.95,2,CL-BART,1,"0.00 (-0.04, 0.03)","0.06 (0.02, 0.12)","0.84 (0.48, 1.00)","0.17 (0.13, 0.24)"
10,exchangeable,Overall,0.95,2,CL-BART,2,"0.00 (-0.04, 0.03)","0.06 (0.02, 0.09)","0.85 (0.38, 1.00)","0.16 (0.12, 0.22)"
10,exchangeable,Overall,0.95,2,CL-BART,5,"0.00 (-0.04, 0.03)","0.06 (0.03, 0.10)","0.87 (0.52, 1.00)","0.19 (0.15, 0.25)"
10,exchangeable,Overall,0.95,2,CL-BART,10,"0.00 (-0.04, 0.03)","0.07 (0.04, 0.12)","0.92 (0.74, 1.00)","0.24 (0.20, 0.32)"
10,exchangeable,Overall,0.95,2,CL-BART-avg,1,"0.00 (-0.04, 0.03)","0.05 (0.02, 0.08)","0.80 (0.28, 1.00)","0.13 (0.11, 0.16)"
10,exchangeable,Overall,0.95,2,CL-BART-avg,2,"0.00 (-0.04, 0.03)","0.04 (0.02, 0.07)","0.83 (0.32, 1.00)","0.13 (0.11, 0.16)"
10,exchangeable,Overall,0.95,2,CL-BART-avg,5,"0.00 (-0.04, 0.03)","0.04 (0.01, 0.08)","0.85 (0.42, 1.00)","0.13 (0.11, 0.15)"
10,exchangeable,Overall,0.95,2,CL-BART-avg,10,"0.00 (-0.04, 0.03)","0.04 (0.01, 0.07)","0.91 (0.50, 1.00)","0.14 (0.12, 0.15)"
10,exchangeable,A,0.3,3,Oracle CLR,NA,"0.00 (-0.06, 0.06)","0.02 (0.00, 0.07)","0.93 (0.00, 1.00)","0.12 (0.12, 0.13)"
10,exchangeable,A,0.3,3,CL-BART,1,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.11)","0.93 (0.00, 1.00)","0.13 (0.11, 0.19)"
10,exchangeable,A,0.3,3,CL-BART,2,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.10)","0.92 (0.00, 1.00)","0.13 (0.11, 0.18)"
10,exchangeable,A,0.3,3,CL-BART,5,"0.00 (-0.06, 0.08)","0.04 (0.00, 0.08)","0.93 (0.24, 1.00)","0.14 (0.11, 0.18)"
10,exchangeable,A,0.3,3,CL-BART,10,"0.00 (-0.06, 0.07)","0.04 (0.01, 0.09)","0.92 (0.29, 1.00)","0.15 (0.12, 0.20)"
10,exchangeable,A,0.3,3,CL-BART-avg,1,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.08)","0.90 (0.00, 1.00)","0.12 (0.11, 0.14)"
10,exchangeable,A,0.3,3,CL-BART-avg,2,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.91 (0.00, 1.00)","0.12 (0.11, 0.14)"
10,exchangeable,A,0.3,3,CL-BART-avg,5,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.08)","0.91 (0.00, 1.00)","0.12 (0.11, 0.14)"
10,exchangeable,A,0.3,3,CL-BART-avg,10,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.89 (0.00, 1.00)","0.12 (0.10, 0.13)"
10,exchangeable,A,0.95,2,Oracle CLR,NA,"0.00 (-0.06, 0.06)","0.02 (0.00, 0.07)","0.93 (0.00, 1.00)","0.12 (0.12, 0.13)"
10,exchangeable,A,0.95,2,CL-BART,1,"0.00 (-0.06, 0.08)","0.04 (0.00, 0.13)","0.94 (0.34, 1.00)","0.15 (0.11, 0.21)"
10,exchangeable,A,0.95,2,CL-BART,2,"0.00 (-0.06, 0.07)","0.04 (0.00, 0.10)","0.92 (0.10, 1.00)","0.15 (0.11, 0.21)"
10,exchangeable,A,0.95,2,CL-BART,5,"0.00 (-0.06, 0.07)","0.05 (0.01, 0.10)","0.91 (0.26, 1.00)","0.17 (0.13, 0.23)"
10,exchangeable,A,0.95,2,CL-BART,10,"0.00 (-0.06, 0.07)","0.06 (0.02, 0.12)","0.95 (0.79, 1.00)","0.22 (0.17, 0.28)"
10,exchangeable,A,0.95,2,CL-BART-avg,1,"0.00 (-0.06, 0.08)","0.02 (0.00, 0.08)","0.91 (0.00, 1.00)","0.12 (0.11, 0.14)"
10,exchangeable,A,0.95,2,CL-BART-avg,2,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.91 (0.00, 1.00)","0.12 (0.11, 0.13)"
10,exchangeable,A,0.95,2,CL-BART-avg,5,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.92 (0.00, 1.00)","0.12 (0.11, 0.13)"
10,exchangeable,A,0.95,2,CL-BART-avg,10,"0.00 (-0.06, 0.07)","0.02 (0.00, 0.07)","0.94 (0.00, 1.00)","0.12 (0.11, 0.13)"
10,exchangeable,B,0.3,3,Oracle CLR,NA,"0.00 (-0.09, 0.08)","0.03 (0.00, 0.10)","0.96 (0.00, 1.00)","0.19 (0.18, 0.21)"
10,exchangeable,B,0.3,3,CL-BART,1,"-0.01 (-0.18, 0.09)","0.05 (0.00, 0.24)","0.89 (0.00, 1.00)","0.21 (0.17, 0.31)"
10,exchangeable,B,0.3,3,CL-BART,2,"-0.01 (-0.14, 0.08)","0.05 (0.00, 0.17)","0.89 (0.00, 1.00)","0.20 (0.16, 0.29)"
10,exchangeable,B,0.3,3,CL-BART,5,"-0.01 (-0.13, 0.08)","0.05 (0.01, 0.15)","0.91 (0.00, 1.00)","0.21 (0.15, 0.31)"
10,exchangeable,B,0.3,3,CL-BART,10,"-0.02 (-0.14, 0.08)","0.06 (0.01, 0.14)","0.86 (0.00, 1.00)","0.22 (0.16, 0.30)"
10,exchangeable,B,0.3,3,CL-BART-avg,1,"-0.01 (-0.18, 0.09)","0.04 (0.00, 0.21)","0.89 (0.00, 1.00)","0.19 (0.14, 0.28)"
10,exchangeable,B,0.3,3,CL-BART-avg,2,"-0.01 (-0.14, 0.08)","0.04 (0.00, 0.14)","0.89 (0.00, 1.00)","0.19 (0.14, 0.27)"
10,exchangeable,B,0.3,3,CL-BART-avg,5,"-0.01 (-0.13, 0.08)","0.04 (0.00, 0.14)","0.90 (0.00, 1.00)","0.19 (0.15, 0.25)"
10,exchangeable,B,0.3,3,CL-BART-avg,10,"-0.02 (-0.14, 0.08)","0.05 (0.00, 0.14)","0.86 (0.00, 1.00)","0.19 (0.14, 0.25)"
10,exchangeable,B,0.95,2,Oracle CLR,NA,"0.00 (-0.09, 0.08)","0.03 (0.00, 0.10)","0.96 (0.00, 1.00)","0.19 (0.18, 0.21)"
