p,corstr,subset,alpha_rho,beta_rho,model,num_trees,bias,rpehe,coverage,width
10,independent,D,0.95,2,CL-BART-avg,10,"-0.02 (-0.09, 0.05)","0.04 (0.00, 0.10)","0.86 (0.00, 1.00)","0.14 (0.10, 0.17)"
20,AR-1,Overall,0.3,3,Oracle CLR,NA,"0.00 (-0.03, 0.03)","0.03 (0.01, 0.07)","0.95 (0.68, 1.00)","0.14 (0.14, 0.15)"
20,AR-1,Overall,0.3,3,CL-BART,1,"0.00 (-0.03, 0.03)","0.06 (0.03, 0.11)","0.71 (0.35, 1.00)","0.14 (0.12, 0.19)"
20,AR-1,Overall,0.3,3,CL-BART,2,"0.00 (-0.03, 0.04)","0.06 (0.03, 0.11)","0.70 (0.39, 1.00)","0.14 (0.11, 0.19)"
20,AR-1,Overall,0.3,3,CL-BART,5,"0.00 (-0.03, 0.03)","0.06 (0.04, 0.11)","0.74 (0.44, 1.00)","0.15 (0.12, 0.20)"
20,AR-1,Overall,0.3,3,CL-BART,10,"0.00 (-0.03, 0.03)","0.06 (0.04, 0.10)","0.80 (0.46, 1.00)","0.17 (0.13, 0.24)"
20,AR-1,Overall,0.3,3,CL-BART-avg,1,"0.00 (-0.03, 0.03)","0.05 (0.03, 0.09)","0.70 (0.23, 1.00)","0.13 (0.11, 0.17)"
20,AR-1,Overall,0.3,3,CL-BART-avg,2,"0.00 (-0.03, 0.04)","0.05 (0.02, 0.08)","0.69 (0.32, 1.00)","0.13 (0.11, 0.17)"
20,AR-1,Overall,0.3,3,CL-BART-avg,5,"0.00 (-0.03, 0.03)","0.05 (0.03, 0.10)","0.70 (0.20, 1.00)","0.13 (0.11, 0.16)"
20,AR-1,Overall,0.3,3,CL-BART-avg,10,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.08)","0.76 (0.26, 1.00)","0.13 (0.11, 0.16)"
20,AR-1,Overall,0.95,2,Oracle CLR,NA,"0.00 (-0.03, 0.03)","0.03 (0.01, 0.07)","0.95 (0.68, 1.00)","0.14 (0.14, 0.15)"
20,AR-1,Overall,0.95,2,CL-BART,1,"0.00 (-0.03, 0.03)","0.06 (0.02, 0.10)","0.79 (0.47, 1.00)","0.17 (0.12, 0.23)"
20,AR-1,Overall,0.95,2,CL-BART,2,"0.00 (-0.03, 0.03)","0.06 (0.03, 0.11)","0.82 (0.49, 1.00)","0.17 (0.13, 0.23)"
20,AR-1,Overall,0.95,2,CL-BART,5,"0.00 (-0.03, 0.04)","0.07 (0.04, 0.11)","0.86 (0.67, 1.00)","0.21 (0.16, 0.26)"
20,AR-1,Overall,0.95,2,CL-BART,10,"0.00 (-0.03, 0.04)","0.08 (0.05, 0.12)","0.90 (0.74, 1.00)","0.28 (0.22, 0.35)"
20,AR-1,Overall,0.95,2,CL-BART-avg,1,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.08)","0.74 (0.33, 1.00)","0.14 (0.11, 0.17)"
20,AR-1,Overall,0.95,2,CL-BART-avg,2,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.07)","0.79 (0.47, 1.00)","0.13 (0.12, 0.16)"
20,AR-1,Overall,0.95,2,CL-BART-avg,5,"0.00 (-0.03, 0.04)","0.04 (0.02, 0.07)","0.82 (0.42, 1.00)","0.13 (0.12, 0.15)"
20,AR-1,Overall,0.95,2,CL-BART-avg,10,"0.00 (-0.03, 0.04)","0.04 (0.02, 0.07)","0.86 (0.44, 1.00)","0.14 (0.12, 0.16)"
20,AR-1,A,0.3,3,Oracle CLR,NA,"0.00 (-0.08, 0.06)","0.03 (0.00, 0.08)","0.95 (0.00, 1.00)","0.14 (0.12, 0.15)"
20,AR-1,A,0.3,3,CL-BART,1,"0.00 (-0.08, 0.09)","0.04 (0.00, 0.14)","0.89 (0.00, 1.00)","0.15 (0.11, 0.19)"
20,AR-1,A,0.3,3,CL-BART,2,"0.01 (-0.05, 0.08)","0.04 (0.00, 0.13)","0.88 (0.00, 1.00)","0.15 (0.12, 0.20)"
20,AR-1,A,0.3,3,CL-BART,5,"0.00 (-0.08, 0.10)","0.04 (0.00, 0.14)","0.91 (0.00, 1.00)","0.16 (0.12, 0.22)"
20,AR-1,A,0.3,3,CL-BART,10,"0.01 (-0.07, 0.09)","0.05 (0.01, 0.11)","0.88 (0.29, 1.00)","0.18 (0.13, 0.25)"
20,AR-1,A,0.3,3,CL-BART-avg,1,"0.00 (-0.08, 0.09)","0.03 (0.00, 0.11)","0.92 (0.00, 1.00)","0.14 (0.11, 0.17)"
20,AR-1,A,0.3,3,CL-BART-avg,2,"0.01 (-0.05, 0.08)","0.03 (0.00, 0.09)","0.93 (0.00, 1.00)","0.14 (0.11, 0.16)"
20,AR-1,A,0.3,3,CL-BART-avg,5,"0.00 (-0.08, 0.10)","0.03 (0.00, 0.11)","0.92 (0.00, 1.00)","0.14 (0.12, 0.15)"
20,AR-1,A,0.3,3,CL-BART-avg,10,"0.01 (-0.07, 0.09)","0.03 (0.00, 0.09)","0.91 (0.00, 1.00)","0.14 (0.12, 0.17)"
20,AR-1,A,0.95,2,Oracle CLR,NA,"0.00 (-0.08, 0.06)","0.03 (0.00, 0.08)","0.95 (0.00, 1.00)","0.14 (0.12, 0.15)"
20,AR-1,A,0.95,2,CL-BART,1,"0.00 (-0.08, 0.08)","0.04 (0.00, 0.15)","0.88 (0.00, 1.00)","0.17 (0.12, 0.28)"
20,AR-1,A,0.95,2,CL-BART,2,"0.00 (-0.08, 0.06)","0.05 (0.00, 0.12)","0.91 (0.40, 1.00)","0.17 (0.13, 0.25)"
20,AR-1,A,0.95,2,CL-BART,5,"0.00 (-0.08, 0.07)","0.06 (0.02, 0.12)","0.89 (0.53, 1.00)","0.21 (0.16, 0.27)"
20,AR-1,A,0.95,2,CL-BART,10,"0.00 (-0.08, 0.07)","0.08 (0.04, 0.14)","0.92 (0.65, 1.00)","0.27 (0.20, 0.35)"
20,AR-1,A,0.95,2,CL-BART-avg,1,"0.00 (-0.08, 0.08)","0.03 (0.00, 0.09)","0.92 (0.00, 1.00)","0.14 (0.12, 0.19)"
20,AR-1,A,0.95,2,CL-BART-avg,2,"0.00 (-0.08, 0.06)","0.03 (0.00, 0.08)","0.94 (0.00, 1.00)","0.14 (0.11, 0.16)"
20,AR-1,A,0.95,2,CL-BART-avg,5,"0.00 (-0.08, 0.07)","0.03 (0.00, 0.08)","0.94 (0.00, 1.00)","0.14 (0.12, 0.16)"
20,AR-1,A,0.95,2,CL-BART-avg,10,"0.00 (-0.08, 0.07)","0.03 (0.00, 0.09)","0.93 (0.00, 1.00)","0.14 (0.12, 0.17)"
20,AR-1,B,0.3,3,Oracle CLR,NA,"0.00 (-0.08, 0.07)","0.03 (0.00, 0.09)","0.96 (0.00, 1.00)","0.15 (0.14, 0.19)"
20,AR-1,B,0.3,3,CL-BART,1,"-0.01 (-0.16, 0.06)","0.04 (0.00, 0.17)","0.91 (0.00, 1.00)","0.16 (0.13, 0.23)"
20,AR-1,B,0.3,3,CL-BART,2,"-0.01 (-0.13, 0.07)","0.05 (0.00, 0.16)","0.88 (0.00, 1.00)","0.17 (0.13, 0.25)"
20,AR-1,B,0.3,3,CL-BART,5,"-0.01 (-0.13, 0.07)","0.05 (0.00, 0.16)","0.86 (0.00, 1.00)","0.17 (0.14, 0.23)"
20,AR-1,B,0.3,3,CL-BART,10,"-0.01 (-0.14, 0.07)","0.06 (0.01, 0.14)","0.87 (0.00, 1.00)","0.19 (0.15, 0.26)"
20,AR-1,B,0.3,3,CL-BART-avg,1,"-0.01 (-0.16, 0.06)","0.03 (0.00, 0.16)","0.93 (0.00, 1.00)","0.15 (0.13, 0.21)"
20,AR-1,B,0.3,3,CL-BART-avg,2,"-0.01 (-0.13, 0.07)","0.04 (0.00, 0.13)","0.90 (0.00, 1.00)","0.15 (0.12, 0.22)"
20,AR-1,B,0.3,3,CL-BART-avg,5,"-0.01 (-0.13, 0.07)","0.04 (0.00, 0.14)","0.87 (0.00, 1.00)","0.15 (0.12, 0.20)"
20,AR-1,B,0.3,3,CL-BART-avg,10,"-0.01 (-0.14, 0.07)","0.04 (0.00, 0.14)","0.91 (0.00, 1.00)","0.16 (0.13, 0.21)"
20,AR-1,B,0.95,2,Oracle CLR,NA,"0.00 (-0.08, 0.07)","0.03 (0.00, 0.09)","0.96 (0.00, 1.00)","0.15 (0.14, 0.19)"
20,AR-1,B,0.95,2,CL-BART,1,"-0.01 (-0.11, 0.07)","0.05 (0.00, 0.15)","0.91 (0.00, 1.00)","0.19 (0.14, 0.31)"
20,AR-1,B,0.95,2,CL-BART,2,"0.00 (-0.09, 0.07)","0.05 (0.00, 0.13)","0.92 (0.38, 1.00)","0.19 (0.14, 0.31)"
20,AR-1,B,0.95,2,CL-BART,5,"0.00 (-0.10, 0.07)","0.07 (0.01, 0.14)","0.88 (0.49, 1.00)","0.23 (0.17, 0.29)"
20,AR-1,B,0.95,2,CL-BART,10,"0.00 (-0.10, 0.07)","0.08 (0.04, 0.15)","0.91 (0.61, 1.00)","0.28 (0.21, 0.36)"
20,AR-1,B,0.95,2,CL-BART-avg,1,"-0.01 (-0.11, 0.07)","0.03 (0.00, 0.12)","0.89 (0.00, 1.00)","0.15 (0.12, 0.20)"
20,AR-1,B,0.95,2,CL-BART-avg,2,"0.00 (-0.09, 0.07)","0.03 (0.00, 0.11)","0.93 (0.00, 1.00)","0.15 (0.13, 0.20)"
20,AR-1,B,0.95,2,CL-BART-avg,5,"0.00 (-0.10, 0.07)","0.03 (0.00, 0.10)","0.91 (0.00, 1.00)","0.15 (0.13, 0.18)"
20,AR-1,B,0.95,2,CL-BART-avg,10,"0.00 (-0.10, 0.07)","0.04 (0.00, 0.11)","0.91 (0.00, 1.00)","0.15 (0.13, 0.20)"
20,AR-1,C,0.3,3,Oracle CLR,NA,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.10)","0.94 (0.00, 1.00)","0.15 (0.14, 0.19)"
20,AR-1,C,0.3,3,CL-BART,1,"0.06 (-0.06, 0.12)","0.07 (0.01, 0.12)","0.41 (0.00, 1.00)","0.14 (0.10, 0.23)"
20,AR-1,C,0.3,3,CL-BART,2,"0.06 (-0.06, 0.12)","0.08 (0.01, 0.13)","0.44 (0.00, 1.00)","0.14 (0.10, 0.22)"
20,AR-1,C,0.3,3,CL-BART,5,"0.06 (-0.06, 0.12)","0.08 (0.02, 0.13)","0.48 (0.00, 1.00)","0.15 (0.10, 0.22)"
20,AR-1,C,0.3,3,CL-BART,10,"0.05 (-0.05, 0.11)","0.07 (0.02, 0.14)","0.63 (0.00, 1.00)","0.17 (0.11, 0.25)"
20,AR-1,C,0.3,3,CL-BART-avg,1,"0.06 (-0.06, 0.12)","0.07 (0.01, 0.12)","0.38 (0.00, 1.00)","0.13 (0.09, 0.22)"
20,AR-1,C,0.3,3,CL-BART-avg,2,"0.06 (-0.06, 0.12)","0.07 (0.01, 0.12)","0.37 (0.00, 1.00)","0.12 (0.09, 0.21)"
20,AR-1,C,0.3,3,CL-BART-avg,5,"0.06 (-0.06, 0.12)","0.07 (0.01, 0.12)","0.38 (0.00, 1.00)","0.12 (0.09, 0.19)"
20,AR-1,C,0.3,3,CL-BART-avg,10,"0.05 (-0.05, 0.11)","0.06 (0.01, 0.11)","0.52 (0.00, 1.00)","0.12 (0.09, 0.18)"
20,AR-1,C,0.95,2,Oracle CLR,NA,"0.00 (-0.06, 0.08)","0.03 (0.00, 0.10)","0.94 (0.00, 1.00)","0.15 (0.14, 0.19)"
20,AR-1,C,0.95,2,CL-BART,1,"0.05 (-0.06, 0.12)","0.07 (0.01, 0.12)","0.63 (0.00, 1.00)","0.17 (0.10, 0.27)"
20,AR-1,C,0.95,2,CL-BART,2,"0.04 (-0.06, 0.12)","0.07 (0.01, 0.13)","0.66 (0.00, 1.00)","0.17 (0.10, 0.27)"
20,AR-1,C,0.95,2,CL-BART,5,"0.04 (-0.05, 0.12)","0.08 (0.01, 0.14)","0.78 (0.32, 1.00)","0.22 (0.14, 0.29)"
20,AR-1,C,0.95,2,CL-BART,10,"0.03 (-0.05, 0.11)","0.09 (0.04, 0.13)","0.87 (0.53, 1.00)","0.28 (0.22, 0.37)"
20,AR-1,C,0.95,2,CL-BART-avg,1,"0.05 (-0.06, 0.12)","0.06 (0.00, 0.12)","0.53 (0.00, 1.00)","0.14 (0.09, 0.21)"
20,AR-1,C,0.95,2,CL-BART-avg,2,"0.04 (-0.06, 0.12)","0.06 (0.01, 0.12)","0.59 (0.00, 1.00)","0.13 (0.10, 0.19)"
20,AR-1,C,0.95,2,CL-BART-avg,5,"0.04 (-0.05, 0.12)","0.05 (0.00, 0.12)","0.62 (0.00, 1.00)","0.13 (0.10, 0.18)"
20,AR-1,C,0.95,2,CL-BART-avg,10,"0.03 (-0.05, 0.11)","0.05 (0.00, 0.11)","0.77 (0.00, 1.00)","0.14 (0.10, 0.19)"
20,AR-1,D,0.3,3,Oracle CLR,NA,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.08)","0.96 (0.00, 1.00)","0.14 (0.12, 0.15)"
20,AR-1,D,0.3,3,CL-BART,1,"-0.04 (-0.10, 0.04)","0.05 (0.01, 0.11)","0.60 (0.00, 1.00)","0.13 (0.09, 0.22)"
20,AR-1,D,0.3,3,CL-BART,2,"-0.04 (-0.10, 0.06)","0.06 (0.01, 0.12)","0.59 (0.00, 1.00)","0.13 (0.10, 0.19)"
20,AR-1,D,0.3,3,CL-BART,5,"-0.04 (-0.10, 0.05)","0.06 (0.02, 0.11)","0.68 (0.00, 1.00)","0.14 (0.10, 0.21)"
20,AR-1,D,0.3,3,CL-BART,10,"-0.04 (-0.09, 0.04)","0.06 (0.01, 0.12)","0.81 (0.04, 1.00)","0.16 (0.11, 0.23)"
20,AR-1,D,0.3,3,CL-BART-avg,1,"-0.04 (-0.10, 0.04)","0.05 (0.00, 0.10)","0.57 (0.00, 1.00)","0.12 (0.09, 0.20)"
20,AR-1,D,0.3,3,CL-BART-avg,2,"-0.04 (-0.10, 0.06)","0.05 (0.00, 0.10)","0.53 (0.00, 1.00)","0.11 (0.09, 0.17)"
20,AR-1,D,0.3,3,CL-BART-avg,5,"-0.04 (-0.10, 0.05)","0.05 (0.00, 0.10)","0.60 (0.00, 1.00)","0.11 (0.09, 0.17)"
20,AR-1,D,0.3,3,CL-BART-avg,10,"-0.04 (-0.09, 0.04)","0.04 (0.00, 0.09)","0.68 (0.00, 1.00)","0.12 (0.10, 0.16)"
20,AR-1,D,0.95,2,Oracle CLR,NA,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.08)","0.96 (0.00, 1.00)","0.14 (0.12, 0.15)"
20,AR-1,D,0.95,2,CL-BART,1,"-0.04 (-0.10, 0.06)","0.05 (0.01, 0.12)","0.73 (0.00, 1.00)","0.16 (0.10, 0.24)"
20,AR-1,D,0.95,2,CL-BART,2,"-0.03 (-0.10, 0.06)","0.05 (0.00, 0.13)","0.78 (0.00, 1.00)","0.16 (0.10, 0.23)"
20,AR-1,D,0.95,2,CL-BART,5,"-0.02 (-0.09, 0.05)","0.07 (0.02, 0.13)","0.87 (0.55, 1.00)","0.21 (0.14, 0.27)"
20,AR-1,D,0.95,2,CL-BART,10,"-0.02 (-0.08, 0.06)","0.08 (0.04, 0.13)","0.90 (0.61, 1.00)","0.27 (0.21, 0.35)"
20,AR-1,D,0.95,2,CL-BART-avg,1,"-0.04 (-0.10, 0.06)","0.05 (0.00, 0.10)","0.62 (0.00, 1.00)","0.13 (0.09, 0.19)"
20,AR-1,D,0.95,2,CL-BART-avg,2,"-0.03 (-0.10, 0.06)","0.04 (0.00, 0.10)","0.69 (0.00, 1.00)","0.12 (0.10, 0.18)"
20,AR-1,D,0.95,2,CL-BART-avg,5,"-0.02 (-0.09, 0.05)","0.04 (0.00, 0.09)","0.79 (0.00, 1.00)","0.12 (0.10, 0.16)"
20,AR-1,D,0.95,2,CL-BART-avg,10,"-0.02 (-0.08, 0.06)","0.03 (0.00, 0.08)","0.84 (0.00, 1.00)","0.13 (0.10, 0.17)"
20,exchangeable,Overall,0.3,3,Oracle CLR,NA,"0.00 (-0.03, 0.03)","0.03 (0.01, 0.06)","0.97 (0.66, 1.00)","0.14 (0.13, 0.15)"
20,exchangeable,Overall,0.3,3,CL-BART,1,"0.00 (-0.04, 0.03)","0.07 (0.05, 0.12)","0.80 (0.47, 1.00)","0.15 (0.12, 0.21)"
20,exchangeable,Overall,0.3,3,CL-BART,2,"0.00 (-0.03, 0.03)","0.06 (0.03, 0.10)","0.79 (0.37, 1.00)","0.14 (0.12, 0.19)"
20,exchangeable,Overall,0.3,3,CL-BART,5,"0.00 (-0.03, 0.03)","0.07 (0.04, 0.11)","0.80 (0.40, 1.00)","0.15 (0.12, 0.20)"
20,exchangeable,Overall,0.3,3,CL-BART,10,"0.00 (-0.03, 0.03)","0.06 (0.03, 0.10)","0.84 (0.51, 1.00)","0.17 (0.13, 0.22)"
20,exchangeable,Overall,0.3,3,CL-BART-avg,1,"0.00 (-0.04, 0.03)","0.05 (0.03, 0.10)","0.76 (0.42, 1.00)","0.13 (0.11, 0.16)"
20,exchangeable,Overall,0.3,3,CL-BART-avg,2,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.08)","0.78 (0.37, 1.00)","0.13 (0.11, 0.17)"
20,exchangeable,Overall,0.3,3,CL-BART-avg,5,"0.00 (-0.03, 0.03)","0.05 (0.03, 0.10)","0.80 (0.36, 1.00)","0.12 (0.11, 0.16)"
20,exchangeable,Overall,0.3,3,CL-BART-avg,10,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.09)","0.82 (0.47, 1.00)","0.13 (0.11, 0.15)"
20,exchangeable,Overall,0.95,2,Oracle CLR,NA,"0.00 (-0.03, 0.03)","0.03 (0.01, 0.06)","0.97 (0.66, 1.00)","0.14 (0.13, 0.15)"
20,exchangeable,Overall,0.95,2,CL-BART,1,"0.00 (-0.04, 0.03)","0.07 (0.04, 0.12)","0.85 (0.53, 1.00)","0.18 (0.13, 0.25)"
20,exchangeable,Overall,0.95,2,CL-BART,2,"0.00 (-0.03, 0.03)","0.06 (0.03, 0.11)","0.85 (0.50, 1.00)","0.16 (0.12, 0.22)"
20,exchangeable,Overall,0.95,2,CL-BART,5,"0.00 (-0.03, 0.03)","0.08 (0.04, 0.12)","0.87 (0.64, 1.00)","0.21 (0.15, 0.28)"
20,exchangeable,Overall,0.95,2,CL-BART,10,"0.00 (-0.03, 0.03)","0.08 (0.05, 0.12)","0.91 (0.74, 1.00)","0.27 (0.20, 0.32)"
20,exchangeable,Overall,0.95,2,CL-BART-avg,1,"0.00 (-0.04, 0.03)","0.05 (0.03, 0.09)","0.82 (0.47, 1.00)","0.13 (0.11, 0.16)"
20,exchangeable,Overall,0.95,2,CL-BART-avg,2,"0.00 (-0.03, 0.03)","0.05 (0.02, 0.07)","0.86 (0.48, 1.00)","0.13 (0.11, 0.15)"
20,exchangeable,Overall,0.95,2,CL-BART-avg,5,"0.00 (-0.03, 0.03)","0.04 (0.02, 0.07)","0.88 (0.42, 1.00)","0.13 (0.11, 0.15)"
20,exchangeable,Overall,0.95,2,CL-BART-avg,10,"0.00 (-0.03, 0.03)","0.04 (0.01, 0.07)","0.93 (0.54, 1.00)","0.13 (0.12, 0.15)"
20,exchangeable,A,0.3,3,Oracle CLR,NA,"0.00 (-0.06, 0.05)","0.02 (0.00, 0.06)","0.98 (1.00, 1.00)","0.12 (0.12, 0.13)"
20,exchangeable,A,0.3,3,CL-BART,1,"0.01 (-0.05, 0.10)","0.05 (0.00, 0.12)","0.90 (0.00, 1.00)","0.14 (0.11, 0.20)"
20,exchangeable,A,0.3,3,CL-BART,2,"0.00 (-0.05, 0.07)","0.04 (0.00, 0.11)","0.90 (0.00, 1.00)","0.13 (0.11, 0.17)"
20,exchangeable,A,0.3,3,CL-BART,5,"0.01 (-0.05, 0.07)","0.04 (0.00, 0.10)","0.88 (0.00, 1.00)","0.14 (0.11, 0.19)"
20,exchangeable,A,0.3,3,CL-BART,10,"0.01 (-0.06, 0.06)","0.04 (0.00, 0.09)","0.91 (0.15, 1.00)","0.15 (0.11, 0.21)"
20,exchangeable,A,0.3,3,CL-BART-avg,1,"0.01 (-0.05, 0.10)","0.03 (0.00, 0.10)","0.90 (0.00, 1.00)","0.12 (0.11, 0.15)"
20,exchangeable,A,0.3,3,CL-BART-avg,2,"0.00 (-0.05, 0.07)","0.03 (0.00, 0.07)","0.94 (0.00, 1.00)","0.12 (0.11, 0.14)"
20,exchangeable,A,0.3,3,CL-BART-avg,5,"0.01 (-0.05, 0.07)","0.03 (0.00, 0.07)","0.94 (0.00, 1.00)","0.12 (0.10, 0.14)"
20,exchangeable,A,0.3,3,CL-BART-avg,10,"0.01 (-0.06, 0.06)","0.03 (0.00, 0.06)","0.92 (0.00, 1.00)","0.12 (0.10, 0.14)"
20,exchangeable,A,0.95,2,Oracle CLR,NA,"0.00 (-0.06, 0.05)","0.02 (0.00, 0.06)","0.98 (1.00, 1.00)","0.12 (0.12, 0.13)"
20,exchangeable,A,0.95,2,CL-BART,1,"0.01 (-0.05, 0.07)","0.05 (0.00, 0.14)","0.91 (0.23, 1.00)","0.16 (0.12, 0.24)"
20,exchangeable,A,0.95,2,CL-BART,2,"0.00 (-0.05, 0.06)","0.04 (0.00, 0.13)","0.92 (0.22, 1.00)","0.15 (0.11, 0.21)"
20,exchangeable,A,0.95,2,CL-BART,5,"0.00 (-0.06, 0.07)","0.06 (0.01, 0.12)","0.90 (0.32, 1.00)","0.19 (0.14, 0.26)"
20,exchangeable,A,0.95,2,CL-BART,10,"0.00 (-0.05, 0.06)","0.07 (0.03, 0.12)","0.92 (0.51, 1.00)","0.24 (0.18, 0.29)"
20,exchangeable,A,0.95,2,CL-BART-avg,1,"0.01 (-0.05, 0.07)","0.03 (0.00, 0.07)","0.93 (0.00, 1.00)","0.12 (0.11, 0.14)"
20,exchangeable,A,0.95,2,CL-BART-avg,2,"0.00 (-0.05, 0.06)","0.03 (0.00, 0.06)","0.96 (0.00, 1.00)","0.12 (0.11, 0.14)"
20,exchangeable,A,0.95,2,CL-BART-avg,5,"0.00 (-0.06, 0.07)","0.03 (0.00, 0.07)","0.92 (0.00, 1.00)","0.12 (0.10, 0.13)"
20,exchangeable,A,0.95,2,CL-BART-avg,10,"0.00 (-0.05, 0.06)","0.03 (0.00, 0.06)","0.97 (0.48, 1.00)","0.12 (0.11, 0.13)"
20,exchangeable,B,0.3,3,Oracle CLR,NA,"0.00 (-0.10, 0.09)","0.04 (0.00, 0.12)","0.96 (0.00, 1.00)","0.19 (0.18, 0.21)"
20,exchangeable,B,0.3,3,CL-BART,1,"-0.02 (-0.21, 0.10)","0.07 (0.00, 0.22)","0.86 (0.00, 1.00)","0.21 (0.17, 0.35)"
20,exchangeable,B,0.3,3,CL-BART,2,"-0.01 (-0.12, 0.10)","0.06 (0.00, 0.20)","0.86 (0.00, 1.00)","0.20 (0.14, 0.27)"
20,exchangeable,B,0.3,3,CL-BART,5,"-0.02 (-0.21, 0.08)","0.07 (0.01, 0.23)","0.80 (0.00, 1.00)","0.21 (0.15, 0.30)"
20,exchangeable,B,0.3,3,CL-BART,10,"-0.02 (-0.21, 0.09)","0.07 (0.01, 0.22)","0.84 (0.00, 1.00)","0.22 (0.16, 0.31)"
20,exchangeable,B,0.3,3,CL-BART-avg,1,"-0.02 (-0.21, 0.10)","0.05 (0.00, 0.22)","0.91 (0.00, 1.00)","0.19 (0.12, 0.29)"
20,exchangeable,B,0.3,3,CL-BART-avg,2,"-0.01 (-0.12, 0.10)","0.05 (0.00, 0.16)","0.86 (0.00, 1.00)","0.18 (0.14, 0.25)"
20,exchangeable,B,0.3,3,CL-BART-avg,5,"-0.02 (-0.21, 0.08)","0.05 (0.00, 0.21)","0.82 (0.00, 1.00)","0.18 (0.12, 0.26)"
20,exchangeable,B,0.3,3,CL-BART-avg,10,"-0.02 (-0.21, 0.09)","0.06 (0.00, 0.21)","0.84 (0.00, 1.00)","0.18 (0.14, 0.25)"
20,exchangeable,B,0.95,2,Oracle CLR,NA,"0.00 (-0.10, 0.09)","0.04 (0.00, 0.12)","0.96 (0.00, 1.00)","0.19 (0.18, 0.21)"
